system:index,B11,B12,B2,B3,B4,B8,NDMI,NDVI,class,year,.geo
1_00000000000000000028,0.15479999780654907,0.065700002014637,0.032499998807907104,0.0515500009059906,0.02889999933540821,0.296099990606308,0.31337324557742186,0.8221538447395584,1,2024,"{""type"":""Point"",""coordinates"":[106.59521200171854,-6.515968432773073]}"
1_00000000000000000029,0.13230000436306,0.05754999816417694,0.03180000185966492,0.049400001764297485,0.02785000018775463,0.30614998936653137,0.39651040595222636,0.833233526594299,1,2024,"{""type"":""Point"",""coordinates"":[107.01493380657624,-6.562766698328987]}"
1_0000000000000000002a,0.1468999981880188,0.06679999828338623,0.030799999833106995,0.04089999943971634,0.027000000700354576,0.21969999372959137,0.19858155250023485,0.7811106501016025,1,2024,"{""type"":""Point"",""coordinates"":[106.4570110827691,-6.679028840095482]}"
1_0000000000000000002b,0.13099999725818634,0.065700002014637,0.026200000196695328,0.03929999843239784,0.026100000366568565,0.2460000067949295,0.30503980981533546,0.8081587675146398,1,2024,"{""type"":""Point"",""coordinates"":[106.68222689967548,-6.736796494242872]}"
1_0000000000000000002c,0.1627500057220459,0.06984999775886536,0.04205000028014183,0.0531499981880188,0.02979999966919422,0.28084999322891235,0.2662308110598595,0.8081442114890461,1,2024,"{""type"":""Point"",""coordinates"":[106.45554849762357,-6.514505847627542]}"
1_0000000000000000002d,0.2159000039100647,0.1006999984383583,0.037300001829862595,0.07079999893903732,0.038100000470876694,0.45159998536109924,0.35310859211906925,0.8443945208364804,1,2024,"{""type"":""Point"",""coordinates"":[107.21382754996414,-6.600058160438954]}"
1_0000000000000000002e,0.1695999950170517,0.08009999990463257,0.03480000048875809,0.04580000042915344,0.026799999177455902,0.24869999289512634,0.18909873335851415,0.8054446464710222,1,2024,"{""type"":""Point"",""coordinates"":[106.99006985910223,-6.660750984877406]}"
1_0000000000000000002f,0.1890999972820282,0.0839499980211258,0.042100001126527786,0.050599999725818634,0.032499998807907104,0.3251500129699707,0.2645600641238172,0.8182580861868303,1,2024,"{""type"":""Point"",""coordinates"":[106.56157700247239,-6.479408263235871]}"
1_00000000000000000030,0.18330000340938568,0.07609999924898148,0.03500000014901161,0.05220000073313713,0.027400000020861626,0.35670000314712524,0.32111110672661314,0.8573288216877302,1,2024,"{""type"":""Point"",""coordinates"":[106.56630364958905,-6.684245988328014]}"
1_00000000000000000031,0.16699999570846558,0.06780000030994415,0.03920000046491623,0.054499998688697815,0.028449999168515205,0.30809998512268066,0.29699009704730545,0.8309315079694125,1,2024,"{""type"":""Point"",""coordinates"":[106.50604781705383,-6.560648625328601]}"
1_00000000000000000032,0.1151999980211258,0.051600001752376556,0.026000000536441803,0.032999999821186066,0.019600000232458115,0.2362000048160553,0.3443369545190188,0.8467552787675598,1,2024,"{""type"":""Point"",""coordinates"":[106.51943849751734,-6.746561925549918]}"
1_00000000000000000033,0.1923000067472458,0.08500000089406967,0.04594999924302101,0.05510000139474869,0.03525000065565109,0.31345000863075256,0.2395452262971442,0.7978204776777128,1,2024,"{""type"":""Point"",""coordinates"":[106.41231751291039,-6.51996378731696]}"
1_00000000000000000034,0.13615000247955322,0.05835000053048134,0.0430000014603138,0.05335000157356262,0.034049998968839645,0.2616499960422516,0.31548515341640776,0.7696990223651341,1,2024,"{""type"":""Point"",""coordinates"":[106.62089196468534,-6.537474677153842]}"
1_00000000000000000035,0.15160000324249268,0.06379999965429306,0.03660000115633011,0.04560000076889992,0.026100000366568565,0.273499995470047,0.2867560399829248,0.8257676853854031,1,2024,"{""type"":""Point"",""coordinates"":[106.97044981446707,-6.72690620810633]}"
1_00000000000000000036,0.10809999704360962,0.048500001430511475,0.03150000050663948,0.043150000274181366,0.02474999986588955,0.19589999318122864,0.2888157860553949,0.7756628085584905,1,2024,"{""type"":""Point"",""coordinates"":[106.76600003116656,-6.718206501951057]}"
1_00000000000000000037,0.17170000076293945,0.07930000126361847,0.02800000086426735,0.04960000142455101,0.026000000536441803,0.2833999991416931,0.24544055900277015,0.831932769466779,1,2024,"{""type"":""Point"",""coordinates"":[106.45956168857167,-6.7278827512370345]}"
1_00000000000000000038,0.15884999930858612,0.06894999742507935,0.04114999994635582,0.0531499981880188,0.02995000034570694,0.3297500014305115,0.34977487078061315,0.8334723369596209,1,2024,"{""type"":""Point"",""coordinates"":[106.52401353519816,-6.474859980161356]}"
